"orig_index","cc_num","merchant","category","amt","lat","long","city_pop","unix_time","trans_date_trans_time","is_fraud","card_7d_tx_count","card_30d_tx_count","card_7d_amt_sum","merch_7d_tx_count","merch_30d_tx_count","merch_amt_sum_day","node_degree_card","node_degree_merchant","node_comp_size","node_pagerank_card","node_pagerank_merch","node_eig_card","node_eig_merch","node_clust_card","node_clust_merch","node_core_card","node_core_merch","node_neighbor_fraud_card","node_neighbor_fraud_merch"
"21","4000000000000021","fraud_Ruecker Group","misc_net","14.13","33.4484","-112.0740","1625000","1704060540","2023-12-31 22:09:00","0","4","4","56.52","8","23","117.29","4","1","11","0.0720","0.1634","0.2300","0.1300","0.00","0.20","1","2","0.10","0.30"
"22","4000000000000022","fraud_Stokes and Sons","gas_transport","14.67","32.7767","-96.7970","1304000","1704061080","2023-12-31 22:18:00","0","5","6","76.49","3","5","52.51","5","3","14","0.0740","0.1783","0.2400","0.1800","0.10","0.30","2","3","0.20","0.40"
"23","4000000000000023","fraud_Bahringer Group","food_dining","15.21","47.6062","-122.3321","737000","1704061620","2023-12-31 22:27:00","0","6","8","97.54","6","13","104.01","6","5","17","0.0760","0.1932","0.2500","0.2300","0.20","0.00","3","1","0.30","0.00"
"24","4000000000000024","fraud_Haley Ltd","gas_transport","15.75","40.7128","-74.0060","8419000","1704062160","2023-12-31 22:36:00","0","7","10","119.67","1","13","32.75","1","7","2","0.0780","0.2081","0.2600","0.2800","0.00","0.10","1","2","0.40","0.10"
"25","4000000000000025","fraud_McDermott PLC","food_dining","16.29","34.0522","-118.2437","3980000","1704062700","2023-12-31 22:45:00","0","8","12","142.88","4","21","65.16","2","2","5","0.0800","0.2230","0.2700","0.3300","0.10","0.20","2","3","0.00","0.20"
"26","4000000000000026","fraud_Lynch-Wisozk","gas_transport","14.62","41.8781","-87.6298","2746000","1704063240","2023-12-31 22:54:00","0","9","14","147.28","7","11","106.59","3","4","8","0.0820","0.0485","0.2800","0.3800","0.20","0.30","3","1","0.10","0.30"
"27","4000000000000027","fraud_Huels-Nolan","food_dining","15.16","29.7604","-95.3698","2328000","1704063780","2023-12-31 23:03:00","0","1","7","34.00","2","11","38.82","4","6","11","0.0840","0.0634","0.2900","0.4300","0.00","0.00","1","2","0.20","0.40"
"28","4000000000000028","fraud_Schmeler Inc","gas_transport","15.70","39.9526","-75.1652","1600000","1704064320","2023-12-31 23:12:00","0","2","9","31.40","5","19","91.25","5","1","14","0.0860","0.0783","0.3000","0.4800","0.10","0.10","2","3","0.30","0.00"
"29","4000000000000029","fraud_Heathcote LLC","food_dining","16.24","33.4484","-112.0740","1625000","1704064860","2023-12-31 23:21:00","0","3","11","51.86","8","9","146.92","6","3","17","0.0880","0.0932","0.3100","0.0600","0.20","0.20","3","1","0.40","0.10"
"30","4000000000000030","fraud_Kilback LLC","gas_transport","16.78","32.7767","-96.7970","1304000","1704065400","2023-12-31 23:30:00","0","4","13","73.40","3","9","50.34","1","5","2","0.0900","0.1081","0.3200","0.1100","0.00","0.30","1","2","0.00","0.20"
"31","4000000000000031","fraud_Ruecker Group","food_dining","17.32","47.6062","-122.3321","737000","1704065940","2023-12-31 23:39:00","0","5","15","96.02","6","17","108.17","2","7","5","0.0920","0.1230","0.3300","0.1600","0.10","0.00","2","3","0.10","0.30"
"32","4000000000000032","fraud_Stokes and Sons","gas_transport","17.86","40.7128","-74.0060","8419000","1704066480","2023-12-31 23:48:00","0","6","17","119.72","1","17","26.36","3","2","8","0.0940","0.1379","0.3400","0.2100","0.20","0.10","3","1","0.20","0.40"
"33","4000000000000033","fraud_Bahringer Group","travel","18.40","34.0522","-118.2437","3980000","1704067020","2023-12-31 23:57:00","0","7","19","144.50","4","7","86.35","4","4","11","0.0960","0.1528","0.3500","0.2600","0.00","0.20","1","2","0.30","0.00"
"34","4000000000000034","fraud_Haley Ltd","entertainment","18.94","41.8781","-87.6298","2746000","1704067560","2024-01-01 00:06:00","1","8","21","170.36","7","15","149.58","5","6","14","0.0980","0.1677","0.3600","0.3100","0.10","0.30","2","3","0.40","0.10"
"35","4000000000000035","fraud_McDermott PLC","travel","19.48","29.7604","-95.3698","2328000","1704068100","2024-01-01 00:15:00","0","9","23","175.32","2","15","38.96","6","1","17","0.1000","0.1826","0.3700","0.3600","0.20","0.00","3","1","0.00","0.20"
"36","4000000000000036","fraud_Lynch-Wisozk","entertainment","20.02","39.9526","-75.1652","1600000","1704068640","2024-01-01 00:24:00","0","1","16","23.16","5","5","104.35","1","3","2","0.1020","0.1974","0.3800","0.4100","0.00","0.10","1","2","0.10","0.30"
"37","4000000000000037","fraud_Huels-Nolan","travel","20.56","33.4484","-112.0740","1625000","1704069180","2024-01-01 00:33:00","0","2","18","47.40","8","13","172.98","2","5","5","0.1040","0.2123","0.3900","0.4600","0.10","0.20","2","3","0.20","0.40"
"38","4000000000000038","fraud_Schmeler Inc","entertainment","21.10","32.7767","-96.7970","1304000","1704069720","2024-01-01 00:42:00","0","3","20","72.72","3","13","76.05","3","7","8","0.1060","0.2272","0.4000","0.0400","0.20","0.30","3","1","0.30","0.00"
"39","4000000000000039","fraud_Heathcote LLC","travel","19.43","47.6062","-122.3321","737000","1704070260","2024-01-01 00:51:00","0","4","22","90.28","6","21","133.58","4","2","11","0.1080","0.0528","0.4100","0.0900","0.00","0.00","1","2","0.40","0.10"
"40","4000000000000040","fraud_Kilback LLC","entertainment","19.97","40.7128","-74.0060","8419000","1704070800","2024-01-01 01:00:00","0","5","24","115.55","1","3","19.97","5","4","14","0.1100","0.0677","0.4200","0.1400","0.10","0.10","2","3","0.00","0.20"
"41","4000000000000041","fraud_Ruecker Group","travel","20.51","34.0522","-118.2437","3980000","1704071340","2024-01-01 01:09:00","0","6","26","141.90","4","11","86.29","6","6","17","0.1120","0.0826","0.4300","0.1900","0.20","0.20","3","1","0.10","0.30"
"42","4000000000000042","fraud_Stokes and Sons","entertainment","21.05","41.8781","-87.6298","2746000","1704071880","2024-01-01 01:18:00","0","7","7","147.35","7","19","155.85","1","1","2","0.1140","0.0974","0.4400","0.2400","0.00","0.30","1","2","0.20","0.40"
"43","4000000000000043","fraud_Bahringer Group","travel","21.59","29.7604","-95.3698","2328000","1704072420","2024-01-01 01:27:00","0","8","9","175.86","2","19","55.93","2","3","5","0.1160","0.1123","0.4500","0.2900","0.10","0.00","2","3","0.30","0.00"
"44","4000000000000044","fraud_Haley Ltd","home","22.13","39.9526","-75.1652","1600000","1704072960","2024-01-01 01:36:00","0","9","11","205.45","5","9","127.65","3","5","8","0.1180","0.1272","0.4600","0.3400","0.20","0.10","3","1","0.40","0.10"
"45","4000000000000045","fraud_McDermott PLC","health_fitness","22.67","33.4484","-112.0740","1625000","1704073500","2024-01-01 01:45:00","0","1","4","32.09","8","17","181.36","4","7","11","0.1200","0.1421","0.4700","0.3900","0.00","0.20","1","2","0.00","0.20"
"46","4000000000000046","fraud_Lynch-Wisozk","home","23.21","32.7767","-96.7970","1304000","1704074040","2024-01-01 01:54:00","0","2","6","58.98","3","17","73.88","5","2","14","0.1220","0.1570","0.4800","0.4400","0.10","0.30","2","3","0.10","0.30"
"47","4000000000000047","fraud_Huels-Nolan","health_fitness","23.75","47.6062","-122.3321","737000","1704074580","2024-01-01 02:03:00","0","3","8","86.95","6","7","151.00","6","4","17","0.1240","0.1719","0.4900","0.0200","0.20","0.00","3","1","0.20","0.40"
"48","4000000000000048","fraud_Schmeler Inc","home","24.29","40.7128","-74.0060","8419000","1704075120","2024-01-01 02:12:00","0","4","10","116.00","1","7","37.04","1","6","2","0.1260","0.1868","0.5000","0.0700","0.00","0.10","1","2","0.30","0.00"
"49","4000000000000049","fraud_Heathcote LLC","health_fitness","24.83","34.0522","-118.2437","3980000","1704075660","2024-01-01 02:21:00","0","5","12","124.15","4","15","116.32","2","1","5","0.1280","0.2017","0.5100","0.1200","0.10","0.20","2","3","0.40","0.10"
"50","4000000000000050","fraud_Kilback LLC","home","25.37","41.8781","-87.6298","2746000","1704076200","2024-01-01 02:30:00","0","6","14","155.36","7","23","177.59","3","3","8","0.1300","0.2166","0.5200","0.1700","0.20","0.30","3","1","0.00","0.20"
"51","4000000000000051","fraud_Ruecker Group","health_fitness","25.91","29.7604","-95.3698","2328000","1704076740","2024-01-01 02:39:00","1","7","16","187.65","2","5","56.07","4","5","11","0.1320","0.0421","0.5300","0.2200","0.00","0.00","1","2","0.10","0.30"
"52","4000000000000052","fraud_Stokes and Sons","home","24.24","39.9526","-75.1652","1600000","1704077280","2024-01-01 02:48:00","0","8","18","203.34","5","13","129.70","5","7","14","0.1340","0.0570","0.5400","0.2700","0.10","0.10","2","3","0.20","0.40"
"53","4000000000000053","fraud_Bahringer Group","health_fitness","24.78","33.4484","-112.0740","1625000","1704077820","2024-01-01 02:57:00","0","9","20","235.58","8","21","210.99","6","2","17","0.1360","0.0719","0.0200","0.3200","0.20","0.20","3","1","0.30","0.00"
"54","4000000000000054","fraud_Haley Ltd","home","25.32","32.7767","-96.7970","1304000","1704078360","2024-01-01 03:06:00","0","1","13","41.02","3","3","92.96","1","4","2","0.1380","0.0868","0.0300","0.3700","0.00","0.30","1","2","0.40","0.10"
"55","4000000000000055","fraud_McDermott PLC","grocery_pos","25.86","47.6062","-122.3321","737000","1704078900","2024-01-01 03:15:00","0","2","15","70.56","6","11","155.16","2","6","5","0.1400","0.1017","0.0400","0.4200","0.10","0.00","2","3","0.00","0.20"
"56","4000000000000056","fraud_Lynch-Wisozk","personal_care","26.40","40.7128","-74.0060","8419000","1704079440","2024-01-01 03:24:00","0","3","17","79.20","1","11","30.65","3","1","8","0.1420","0.1166","0.0500","0.4700","0.20","0.10","3","1","0.10","0.30"
"57","4000000000000057","fraud_Huels-Nolan","grocery_pos","26.94","34.0522","-118.2437","3980000","1704079980","2024-01-01 03:33:00","0","4","19","110.90","4","19","116.26","4","3","11","0.1440","0.1315","0.0600","0.0500","0.00","0.20","1","2","0.20","0.40"
"58","4000000000000058","fraud_Schmeler Inc","personal_care","27.48","41.8781","-87.6298","2746000","1704080520","2024-01-01 03:42:00","0","5","21","143.68","7","9","205.11","5","5","14","0.1460","0.1464","0.0700","0.1000","0.10","0.30","2","3","0.30","0.00"
"59","4000000000000059","fraud_Heathcote LLC","grocery_pos","28.02","29.7604","-95.3698","2328000","1704081060","2024-01-01 03:51:00","0","6","23","177.54","2","9","73.04","6","7","17","0.1480","0.1613","0.0800","0.1500","0.20","0.00","3","1","0.40","0.10"
"60","4000000000000060","fraud_Kilback LLC","personal_care","28.56","39.9526","-75.1652","1600000","1704081600","2024-01-01 04:00:00","0","7","25","212.48","5","17","142.80","1","2","2","0.1500","0.1762","0.0900","0.2000","0.00","0.10","1","2","0.00","0.20"
"61","4000000000000061","fraud_Ruecker Group","grocery_pos","29.10","33.4484","-112.0740","1625000","1704082140","2024-01-01 04:09:00","0","8","27","248.50","8","25","237.05","2","4","5","0.1520","0.1911","0.1000","0.2500","0.10","0.20","2","3","0.10","0.30"
"62","4000000000000062","fraud_Stokes and Sons","personal_care","29.64","32.7767","-96.7970","1304000","1704082680","2024-01-01 04:18:00","0","9","29","285.60","3","7","97.42","3","6","8","0.1540","0.2060","0.1100","0.3000","0.20","0.30","3","1","0.20","0.40"
"63","4000000000000063","fraud_Bahringer Group","grocery_pos","30.18","47.6062","-122.3321","737000","1704083220","2024-01-01 04:27:00","0","1","1","30.18","6","15","193.83","4","1","11","0.1560","0.2209","0.1200","0.3500","0.00","0.00","1","2","0.30","0.00"
"64","4000000000000064","fraud_Haley Ltd","personal_care","30.72","40.7128","-74.0060","8419000","1704083760","2024-01-01 04:36:00","0","2","3","64.58","1","15","47.72","5","3","14","0.1580","0.0464","0.1300","0.4000","0.10","0.10","2","3","0.40","0.10"
"65","4000000000000065","fraud_McDermott PLC","grocery_pos","29.05","34.0522","-118.2437","3980000","1704084300","2024-01-01 04:45:00","0","3","5","93.43","4","5","116.20","6","5","17","0.1600","0.0613","0.1400","0.4500","0.20","0.20","3","1","0.00","0.20"
"66","4000000000000066","fraud_Lynch-Wisozk","misc_net","29.59","41.8781","-87.6298","2746000","1704084840","2024-01-01 04:54:00","0","4","7","127.78","7","13","211.38","1","7","2","0.1620","0.0762","0.1500","0.0300","0.00","0.30","1","2","0.10","0.30"
"67","4000000000000067","fraud_Huels-Nolan","shopping_net","30.13","29.7604","-95.3698","2328000","1704085380","2024-01-01 05:03:00","0","5","9","163.21","2","13","68.76","2","2","5","0.1640","0.0911","0.1600","0.0800","0.10","0.00","2","3","0.20","0.40"
"68","4000000000000068","fraud_Schmeler Inc","misc_net","30.67","39.9526","-75.1652","1600000","1704085920","2024-01-01 05:12:00","1","6","11","199.72","5","21","166.10","3","4","8","0.1660","0.1060","0.1700","0.1300","0.20","0.10","3","1","0.30","0.00"
"69","4000000000000069","fraud_Heathcote LLC","shopping_net","31.21","33.4484","-112.0740","1625000","1704086460","2024-01-01 05:21:00","0","7","13","237.31","8","11","266.68","4","6","11","0.1680","0.1209","0.1800","0.1800","0.00","0.20","1","2","0.40","0.10"
"70","4000000000000070","fraud_Kilback LLC","misc_net","31.75","32.7767","-96.7970","1304000","1704087000","2024-01-01 05:30:00","0","8","15","254.00","3","11","95.25","5","1","14","0.1700","0.1357","0.1900","0.2300","0.10","0.30","2","3","0.00","0.20"
"71","4000000000000071","fraud_Ruecker Group","shopping_net","32.29","47.6062","-122.3321","737000","1704087540","2024-01-01 05:39:00","0","9","17","293.75","6","19","197.99","6","3","17","0.1720","0.1506","0.2000","0.2800","0.20","0.00","3","1","0.10","0.30"
"72","4000000000000072","fraud_Stokes and Sons","misc_net","32.83","40.7128","-74.0060","8419000","1704088080","2024-01-01 05:48:00","0","1","10","39.11","1","1","41.33","1","5","2","0.1740","0.1655","0.2100","0.3300","0.00","0.10","1","2","0.20","0.40"
"73","4000000000000073","fraud_Bahringer Group","shopping_net","33.37","34.0522","-118.2437","3980000","1704088620","2024-01-01 05:57:00","0","2","12","76.16","4","9","146.23","2","7","5","0.1760","0.1804","0.2200","0.3800","0.10","0.20","2","3","0.30","0.00"
"74","4000000000000074","fraud_Haley Ltd","misc_net","33.91","41.8781","-87.6298","2746000","1704089160","2024-01-01 06:06:00","0","3","14","114.29","7","17","254.37","3","2","8","0.1780","0.1953","0.2300","0.4300","0.20","0.30","3","1","0.40","0.10"
"75","4000000000000075","fraud_McDermott PLC","shopping_net","34.45","29.7604","-95.3698","2328000","1704089700","2024-01-01 06:15:00","0","4","16","153.50","2","17","68.90","4","4","11","0.1800","0.2102","0.2400","0.4800","0.00","0.00","1","2","0.00","0.20"
"76","4000000000000076","fraud_Lynch-Wisozk","misc_net","34.99","39.9526","-75.1652","1600000","1704090240","2024-01-01 06:24:00","0","5","18","193.79","5","7","179.20","5","6","14","0.1820","0.2251","0.2500","0.0600","0.10","0.10","2","3","0.10","0.30"
"77","4000000000000077","fraud_Huels-Nolan","gas_transport","35.53","33.4484","-112.0740","1625000","1704090780","2024-01-01 06:33:00","0","6","20","213.18","8","15","292.74","6","1","17","0.1840","0.0506","0.2600","0.1100","0.20","0.20","3","1","0.20","0.40"
"78","4000000000000078","fraud_Schmeler Inc","food_dining","33.86","32.7767","-96.7970","1304000","1704091320","2024-01-01 06:42:00","0","7","22","240.16","3","15","114.33","1","3","2","0.1860","0.0655","0.2700","0.1600","0.00","0.30","1","2","0.30","0.00"
"79","4000000000000079","fraud_Heathcote LLC","gas_transport","34.40","47.6062","-122.3321","737000","1704091860","2024-01-01 06:51:00","0","8","24","281.48","6","23","223.40","2","5","5","0.1880","0.0804","0.2800","0.2100","0.10","0.00","2","3","0.40","0.10"
"80","4000000000000080","fraud_Kilback LLC","food_dining","34.94","40.7128","-74.0060","8419000","1704092400","2024-01-01 07:00:00","0","9","26","323.88","1","5","34.94","3","7","8","0.1900","0.0953","0.2900","0.2600","0.20","0.10","3","1","0.00","0.20"
"81","4000000000000081","fraud_Ruecker Group","gas_transport","35.48","34.0522","-118.2437","3980000","1704092940","2024-01-01 07:09:00","0","1","19","48.04","4","13","146.17","4","2","11","0.1920","0.1102","0.3000","0.3100","0.00","0.20","1","2","0.10","0.30"
"82","4000000000000082","fraud_Stokes and Sons","food_dining","36.02","41.8781","-87.6298","2746000","1704093480","2024-01-01 07:18:00","0","2","21","87.74","7","21","260.64","5","4","14","0.1940","0.1251","0.3100","0.3600","0.10","0.30","2","3","0.20","0.40"
"83","4000000000000083","fraud_Bahringer Group","gas_transport","36.56","29.7604","-95.3698","2328000","1704094020","2024-01-01 07:27:00","0","3","23","128.52","2","3","85.87","6","6","17","0.1960","0.1400","0.3200","0.4100","0.20","0.00","3","1","0.30","0.00"
"84","4000000000000084","fraud_Haley Ltd","food_dining","37.10","39.9526","-75.1652","1600000","1704094560","2024-01-01 07:36:00","0","4","4","148.40","5","11","202.50","1","1","2","0.1980","0.1549","0.3300","0.4600","0.00","0.10","1","2","0.40","0.10"
"85","4000000000000085","fraud_McDermott PLC","gas_transport","37.64","33.4484","-112.0740","1625000","1704095100","2024-01-01 07:45:00","1","5","6","191.34","8","19","301.12","2","3","5","0.2000","0.1698","0.3400","0.0400","0.10","0.20","2","3","0.00","0.20"
"86","4000000000000086","fraud_Lynch-Wisozk","food_dining","38.18","32.7767","-96.7970","1304000","1704095640","2024-01-01 07:54:00","0","6","8","235.36","3","19","118.79","3","5","8","0.2020","0.1847","0.3500","0.0900","0.20","0.30","3","1","0.10","0.30"
"87","4000000000000087","fraud_Huels-Nolan","gas_transport","38.72","47.6062","-122.3321","737000","1704096180","2024-01-01 08:03:00","0","7","10","280.46","6","9","240.82","4","7","11","0.2040","0.1996","0.3600","0.1400","0.00","0.00","1","2","0.20","0.40"
"88","4000000000000088","fraud_Schmeler Inc","travel","39.26","40.7128","-74.0060","8419000","1704096720","2024-01-01 08:12:00","0","8","12","326.64","1","9","52.01","5","2","14","0.2060","0.2145","0.3700","0.1900","0.10","0.10","2","3","0.30","0.00"
"89","4000000000000089","fraud_Heathcote LLC","entertainment","39.80","34.0522","-118.2437","3980000","1704097260","2024-01-01 08:21:00","0","9","14","373.90","4","17","176.20","6","4","17","0.2080","0.0400","0.3800","0.2400","0.20","0.20","3","1","0.40","0.10"
"90","4000000000000090","fraud_Kilback LLC","travel","40.34","41.8781","-87.6298","2746000","1704097800","2024-01-01 08:30:00","0","1","7","59.18","7","7","282.38","1","6","2","0.2100","0.0549","0.3900","0.2900","0.00","0.30","1","2","0.00","0.20"
"91","4000000000000091","fraud_Ruecker Group","entertainment","38.67","29.7604","-95.3698","2328000","1704098340","2024-01-01 08:39:00","0","2","9","77.34","2","7","81.59","2","1","5","0.2120","0.0698","0.4000","0.3400","0.10","0.00","2","3","0.10","0.30"
"92","4000000000000092","fraud_Stokes and Sons","travel","39.21","39.9526","-75.1652","1600000","1704098880","2024-01-01 08:48:00","0","3","11","120.77","5","15","204.55","3","3","8","0.2140","0.0847","0.4100","0.3900","0.20","0.10","3","1","0.20","0.40"
"93","4000000000000093","fraud_Bahringer Group","entertainment","39.75","33.4484","-112.0740","1625000","1704099420","2024-01-01 08:57:00","0","4","13","165.28","8","23","330.75","4","5","11","0.2160","0.0996","0.4200","0.4400","0.00","0.20","1","2","0.30","0.00"
"94","4000000000000094","fraud_Haley Ltd","travel","40.29","32.7767","-96.7970","1304000","1704099960","2024-01-01 09:06:00","0","5","15","210.87","3","5","137.87","5","7","14","0.2180","0.1145","0.4300","0.0200","0.10","0.30","2","3","0.40","0.10"
"95","4000000000000095","fraud_McDermott PLC","entertainment","40.83","47.6062","-122.3321","737000","1704100500","2024-01-01 09:15:00","0","6","17","257.54","6","13","244.98","6","2","17","0.2200","0.1294","0.4400","0.0700","0.20","0.00","3","1","0.00","0.20"
"96","4000000000000096","fraud_Lynch-Wisozk","travel","41.37","40.7128","-74.0060","8419000","1704101040","2024-01-01 09:24:00","0","7","19","305.29","1","13","45.62","1","4","2","0.2220","0.1443","0.4500","0.1200","0.00","0.10","1","2","0.10","0.30"
"97","4000000000000097","fraud_Huels-Nolan","entertainment","41.91","34.0522","-118.2437","3980000","1704101580","2024-01-01 09:33:00","0","8","21","354.12","4","21","176.14","2","6","5","0.0300","0.1591","0.4600","0.1700","0.10","0.20","2","3","0.20","0.40"
"98","4000000000000098","fraud_Schmeler Inc","travel","42.45","41.8781","-87.6298","2746000","1704102120","2024-01-01 09:42:00","0","9","23","382.05","7","11","309.90","3","1","8","0.0320","0.1740","0.4700","0.2200","0.20","0.30","3","1","0.30","0.00"
"99","4000000000000099","fraud_Heathcote LLC","home","42.99","29.7604","-95.3698","2328000","1704102660","2024-01-01 09:51:00","0","1","16","46.13","2","11","102.98","4","3","11","0.0340","0.1889","0.4800","0.2700","0.00","0.00","1","2","0.40","0.10"
"100","4000000000000100","fraud_Kilback LLC","health_fitness","43.53","39.9526","-75.1652","1600000","1704103200","2024-01-01 10:00:00","0","2","18","93.34","5","19","217.65","5","5","14","0.0360","0.2038","0.4900","0.3200","0.10","0.10","2","3","0.00","0.20"
"101","4000000000000101","fraud_Ruecker Group","home","44.07","33.4484","-112.0740","1625000","1704103740","2024-01-01 10:09:00","0","3","20","141.63","8","9","356.81","6","7","17","0.0380","0.2187","0.5000","0.3700","0.20","0.20","3","1","0.10","0.30"
"102","4000000000000102","fraud_Stokes and Sons","health_fitness","44.61","32.7767","-96.7970","1304000","1704104280","2024-01-01 10:18:00","1","4","22","191.00","3","9","142.33","1","2","2","0.0400","0.0443","0.5100","0.4200","0.00","0.30","1","2","0.20","0.40"
"103","4000000000000103","fraud_Bahringer Group","home","45.15","47.6062","-122.3321","737000","1704104820","2024-01-01 10:27:00","0","5","24","241.45","6","17","283.65","2","4","5","0.0420","0.0591","0.5200","0.4700","0.10","0.00","2","3","0.30","0.00"
